State,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
California,   Air transportation,Millions of current dollars,7677.3,7107.2,7137.1,7236.4,6216.3,6429,6096.7,7242,6386.2,9277.9,9042.6,7874.9,8109.5,10098.8,9545.9,9440.7,10826.7,12578.3,14724.6,17539.5,17368.1,17610.4,19844.4
California,   Rail transportation,Millions of current dollars,1101.4,1206.3,1242.9,1286.4,1342.7,1195.8,1286.6,1390.6,1547.8,1683.9,1671.6,1847.6,1601.2,1569.2,1721,1628.7,1603.7,1696.5,1768.7,1638,1651.3,1792.2,1738.8
California,   Water transportation,Millions of current dollars,797.4,749.2,741.6,921.2,973,793.5,849.2,783.2,641,824.6,1177.9,1349,1264.6,1167.5,1369.8,1199.8,1481.3,1488.7,1518.7,1501.7,1538.6,1600.3,1623.7
California,   Truck transportation,Millions of current dollars,7683.8,8634.6,9220.6,10062.9,10035,10001.7,10493.6,11451.2,11998.5,12985.2,13058.1,12526.6,11731.9,11967.7,12932.3,13212.6,13658.3,14719.3,15617.3,16050.6,17025,18265,19289.2
California,   Transit and ground passenger transportation,Millions of current dollars,1320.2,1483.2,1651.9,1745.5,1860.2,1895.4,2075.6,2206.4,2290.3,2498.6,2535.6,2744.5,2761.6,2979.3,3350.7,3775.9,3984.1,4402.9,4811.2,6966.3,8614.7,11286.4,15809.3
California,   Pipeline transportation,Millions of current dollars,242.1,191.4,108.7,74.6,532.7,141.9,144.6,284.7,244.4,401.3,489,744.6,791.1,1169.6,1366,1222,1127.2,945.7,865.4,511.7,604.7,629.8,558.5
California,   Other transportation and support activities,Millions of current dollars,7533.3,8069.7,7866.6,9079.6,9674.2,10228.1,10547.6,11471.1,12874.4,13609.7,12819.6,13256.8,11576.3,12287.9,12658.4,12770.7,13500.3,14096.6,15698.5,16251.1,17321.9,18692.9,20435.6
California,   Warehousing and storage,Millions of current dollars,2792.1,3288.9,3322.4,3452.7,3141.5,3109.1,3346.8,4044.7,4447.1,4763.6,4869.9,5483.8,5345.1,5305.6,5129.1,5289.7,5406.7,5367.5,6127,6818.2,7730.7,9133.9,10427.6
California,  Information,Millions of current dollars,64099.2,72468.2,88408.8,84769,92899.7,100870.6,105091.5,117589.7,119839.8,127098,137228.3,141997.7,130942.7,147306.3,151950.4,154113.5,183340.2,192858.1,219700.2,243545.3,267664.2,281353.6,305360.7
California,   Publishing industries (except Internet),Millions of current dollars,10977.8,12340,17136.1,16312.5,17033.4,19206.6,20588.2,24163.6,24764.9,24557.9,28356.5,28953.2,26405.8,29632.1,32575.3,34763,39169.8,42480.3,49335.5,51325.1,58404.3,64346.4,71095.4
California,   Motion picture and sound recording industries,Millions of current dollars,23239.1,27451.9,32446.7,27875.7,34762.1,39324,39591.1,40338.3,36011.5,38195.5,41335.3,45489.7,42975.7,49030.1,44696.5,42175.1,40612.3,40576.4,44548,48231.2,48878,44633.7,44317.8
California,   Broadcasting (except Internet) and telecommunications,Millions of current dollars,26575.7,27878.4,33993,34357.4,33824.6,33088.8,34564.1,38694.8,43346.2,45752.2,52998.3,50666.7,44028,47441.4,49435.5,52762.9,59604.3,59971.3,67208.2,71627.3,70487.1,71585.7,76287.6
California,"   Data processing, hosting, and other information services",Millions of current dollars,3306.7,4798,4833,6223.5,7279.5,9251.1,10348.2,14393.1,15717.2,18592.4,14538.3,16888.1,17533.2,21202.7,25243.1,24412.5,43953.9,49830.1,58608.5,72361.7,89894.7,100787.8,113659.9
California,"  Finance, insurance, real estate, rental, and leasing",Millions of current dollars,210071.5,225482.1,237343.3,250226.2,269815.7,284517.2,296480.5,300362.1,324428.3,342438.5,357606.8,360564.9,381692.6,395510.3,406366.7,427596.6,441159.8,454783.4,463179.3,475465.8,510756.1,542164.1,563363.9
California,   Finance and insurance,Millions of current dollars,47566.3,55508.2,58564.3,64240.1,77119.8,81935.8,89807.9,86863.9,95899.2,104979.4,100279.2,82312.3,94545.8,95388.4,99476.8,111917,113378.3,123046.3,128480.3,131933.3,145287.5,156345,157588
California,"    Monetary Authorities- central bank, credit intermediation, and related services",Millions of current dollars,16429.8,22064.8,23932.8,25671.6,31084.2,37666.5,43411.1,34011.6,36248,41182.7,41573.4,41490.9,41881.2,45102.8,52413.9,56032.6,54332.6,60548.9,63666.9,63478.9,67808.9,74120.5,73092.4
