state_name,year,population,land_area_sqkm,pop_density
Indiana,2008,6418282.5479999995,92789,69.17072657319294
Indiana,2009,6453703.704,92789,69.55246531377642
Indiana,2010,6500000,92789,70.05140695556585
Indiana,2011,6515527.95,92789,70.21875383935595
Indiana,2012,6535117.057,92789,70.42986837879491
Indiana,2013,6582236.842,92789,70.9376848764401
Indiana,2014,6596153.846,92789,71.08767037041028
Indiana,2015,6614840.989,92789,71.28906431796872
Indiana,2016,6635036.495999999,92789,71.50671411481964
Indiana,2017,6662878.788000001,92789,71.80677438058392
Indiana,2018,6709219.858,92789,72.30619855801874
Indiana,2019,6721374.046,92789,72.43718593798835
Iowa,1997,2887159.5330000003,144669,19.957002073699275
Iowa,1998,2902255.639,144669,20.061351353780008
Iowa,1999,2918222.554,144669,20.17171995382563
Iowa,2000,2928808.558,144669,20.24489391645757
Iowa,2001,2932533.733,144669,20.270643558744446
Iowa,2002,2929368.03,144669,20.248761172054827
Iowa,2003,2944029.851,144669,20.350108530507573
Iowa,2004,2952029.52,144669,20.405404889782883
Iowa,2005,2966666.6670000004,144669,20.506581693382827
Iowa,2006,2978021.978,144669,20.585073360567918
Iowa,2007,3000000,144669,20.736992721315556
Iowa,2008,3020066.8899999997,144669,20.875701705272032
Iowa,2009,3028368.7939999998,144669,20.93308721287905
Iowa,2010,3050675.676,144669,21.0872797627688
Iowa,2011,3063157.895,144669,21.17356099095176
Iowa,2012,3071698.113,144669,21.232593803786575
Iowa,2013,3097744.361,144669,21.412634088851103
Iowa,2014,3111940.299,144669,21.510761109843852
Iowa,2015,3120967.742,144669,21.573161783104883
Iowa,2016,3135593.22,144669,21.67425792671547
Iowa,2017,3139917.695,144669,21.70415012891497
Iowa,2018,3145038.168,144669,21.73954453269187
Iowa,2019,3155102.041,144669,21.809109353074952
Kansas,1997,2637037.037,211754,12.453304480670967
Kansas,1998,2665399.24,211754,12.587243877329355
Kansas,1999,2678362.573,211754,12.64846271144819
Kansas,2000,2693674.485,211754,12.72077261822681
Kansas,2001,2702407.8249999997,211754,12.762015475504594
Kansas,2002,2715302.491,211754,12.822910032396083
Kansas,2003,2726643.599,211754,12.876467972269708
Kansas,2004,2735714.286,211754,12.919303937587955
Kansas,2005,2748120.301,211754,12.977890859204548
Kansas,2006,2761363.636,211754,13.040431991839586
Kansas,2007,2781690.141,211754,13.136423118335426
Kansas,2008,2808988.764,211754,13.265339799956553
Kansas,2009,2837209.302,211754,13.398610189181786
Kansas,2010,2858267.7169999997,211754,13.498057732085343
Kansas,2011,2873983.7399999998,211754,13.572276037288551
Kansas,2012,2886462.882,211754,13.631208298308415
Kansas,2013,2896265.5599999996,211754,13.677501062553716
Kansas,2014,2904958.678,211754,13.718553973006413
Kansas,2015,2905405.4050000003,211754,13.720663623827651
Kansas,2016,2911627.907,211754,13.750049146651303
Kansas,2017,2906403.941,211754,13.725379171113651
Kansas,2018,2912037.037,211754,13.751981247107492
Kansas,2019,2908653.846,211754,13.736004259659794
Kentucky,1997,3950276.243,102269,38.626330980062384
Kentucky,1998,3983098.592,102269,38.94727231125757
Kentucky,1999,4018411.6520000002,102269,39.29256814870587
Kentucky,2000,4048995.3209999995,102269,39.591619366572466
Kentucky,2001,4067600.323,102269,39.77354157173728
Kentucky,2002,4089189.189,102269,39.98464039933899
Kentucky,2003,4116991.6430000006,102269,40.256496523873324
Kentucky,2004,4142091.153,102269,40.501922899412335
Kentucky,2005,4179144.385,102269,40.864234372097116
Kentucky,2006,4220744.681,102269,41.27100764650089
Kentucky,2007,4260752.688,102269,41.66221130547869
Kentucky,2008,4292011.019,102269,41.96785945887806
Kentucky,2009,4319526.627,102269,42.236910764747876
Kentucky,2010,4343750,102269,42.47377015517899
Kentucky,2011,4369942.197000001,102269,42.729880970773166
Kentucky,2012,4393750,102269,42.962676862001196
Kentucky,2013,4406940.063,102269,43.091651067283344
Kentucky,2014,4415094.34,102269,43.17138468157506
Kentucky,2015,4420875.421,102269,43.22791286704671
Kentucky,2016,4433566.434,102269,43.35200729448807
Kentucky,2017,4458015.267,102269,43.591071263041584
Kentucky,2018,4465454.545,102269,43.663813521203885
Kentucky,2019,4472868.217,102269,43.736305400463486
Louisiana,1997,4419161.677,111898,39.49276731487605
Louisiana,1998,4439232.409,111898,39.67213363062789
Louisiana,1999,4461322.385,111898,39.869545344867646
Louisiana,2000,4471923.779,111898,39.96428693095498
Louisiana,2001,4478251.0709999995,111898,40.020832106025125
Louisiana,2002,4496703.297,111898,40.18573430266851
Louisiana,2003,4520179.372,111898,40.395533182005046
Louisiana,2004,4549234.136,111898,40.65518718833223
Louisiana,2005,4578231.293,111898,40.91432637759387
Louisiana,2006,4305327.869,111898,38.47546755974191
Louisiana,2007,4378378.378,111898,39.128298789969435
Louisiana,2008,4436956.522,111898,39.65179468801944
Louisiana,2009,4489559.165,111898,40.121889265223686
Louisiana,2010,4542410.714,111898,40.5942082432215
Louisiana,2011,4579295.154,111898,40.92383379506336
Louisiana,2012,4605140.187,111898,41.154803365565066
Louisiana,2013,4621026.895,111898,41.29677827128277
Louisiana,2014,4645885.287,111898,41.51893051707805
Louisiana,2015,4663316.583000001,111898,41.67470895815833
Louisiana,2016,4680693.069,111898,41.829997578151534
Louisiana,2017,4671497.585,111898,41.74782020232712
Louisiana,2018,4657894.737000001,111898,41.62625549160843
Louisiana,2019,4662679.426,111898,41.6690148706858
