state_name,year,percentage_manufacturing
California,y2014,0.11345982602134685
California,y2015,0.11321506823435848
California,y2016,0.11112166168411533
California,y2017,0.1153198864331878
California,y2018,0.1186690896103452
California,y2019,0.11678556682578113
California,y2020,0.11852795221262709
California,y2021,0.123180132319563
Colorado,y1997,0.10507623520164909
Colorado,y1998,0.09661810683163707
Colorado,y1999,0.08877141581782977
Colorado,y2000,0.08810295496247984
Colorado,y2001,0.07765520167031074
Colorado,y2002,0.07829164451975855
Colorado,y2003,0.0740654628517819
Colorado,y2004,0.07725873695676877
Colorado,y2005,0.07646578982053476
Colorado,y2006,0.07863898348869766
Colorado,y2007,0.07784090337356332
Colorado,y2008,0.07456087320475742
Colorado,y2009,0.07898890130347888
Colorado,y2010,0.07822874314460461
Colorado,y2011,0.077136665793199
Colorado,y2012,0.0753864110328943
Colorado,y2013,0.07293168869088675
Colorado,y2014,0.07215161984166316
Colorado,y2015,0.0724944507860568
Colorado,y2016,0.06912425355026815
Colorado,y2017,0.06542741276034464
Colorado,y2018,0.06476980792333087
Colorado,y2019,0.06487667572625427
Colorado,y2020,0.06498378006229731
Colorado,y2021,0.06576837447095735
Connecticut,y1997,0.15727186373632096
Connecticut,y1998,0.15168533533137882
Connecticut,y1999,0.15004514487400475
Connecticut,y2000,0.14025540065078923
Connecticut,y2001,0.1382144021082068
Connecticut,y2002,0.14982369235369122
Connecticut,y2003,0.1472102749714329
Connecticut,y2004,0.15786345773768665
Connecticut,y2005,0.15388378799559096
Connecticut,y2006,0.17101321209054623
Connecticut,y2007,0.16476202211385912
Connecticut,y2008,0.1623571588805073
Connecticut,y2009,0.12346998830214835
Connecticut,y2010,0.12431018321261184
Connecticut,y2011,0.12196585415856238
Connecticut,y2012,0.12069432850764118
Connecticut,y2013,0.12559219335749722
Connecticut,y2014,0.11898238826911925
Connecticut,y2015,0.115560346189686
Connecticut,y2016,0.10516997932645429
Connecticut,y2017,0.10667951481427751
Connecticut,y2018,0.11459963233722373
Connecticut,y2019,0.11774185542907184
Connecticut,y2020,0.10949780209960897
Connecticut,y2021,0.10853915849571802
Delaware,y1997,0.11867155972104793
Delaware,y1998,0.109378537163801
Delaware,y1999,0.10835764442274279
Delaware,y2000,0.09793032659552187
Delaware,y2001,0.09077123661220797
Delaware,y2002,0.07372061799715655
Delaware,y2003,0.0733505151396319
Delaware,y2004,0.09039076054889911
Delaware,y2005,0.08755308847920082
Delaware,y2006,0.0889959836445888
Delaware,y2007,0.09379857558714637
Delaware,y2008,0.08079185283755079
Delaware,y2009,0.0761628841636171
Delaware,y2010,0.07095687157753575
Delaware,y2011,0.06813345456085981
Delaware,y2012,0.06156402254204181
Delaware,y2013,0.06388598131446849
Delaware,y2014,0.059068359600729724
Delaware,y2015,0.0683720393414903
