state_name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Florida,2.1392888744775369e-4,1.2047395432336049e-4,1.1264926846743945e-4,1.6454954409377245e-4,1.41987821798926e-4,1.3055814692782393e-4,8.941830850027714e-5,6.959151020690948e-5,5.666911146658385e-5,5.156398771098265e-5,4.216107446859479e-5,6.746652710484102e-5,4.1200890374357e-5,6.640524954918734e-5,9.771728192362693e-5,1.3037139792818655e-4,9.387106919517385e-5,7.584898021867988e-5,4.3147101125688056e-5,3.723701359150996e-5,4.468524382533216e-5,4.5752646634632875e-5,3.287247967952289e-5
Georgia,4.9476211837348605e-6,2.638053086672857e-6,2.4205715384357362e-6,6.2178471849515e-6,1.2599397433817728e-6,7.338298303660619e-6,5.838117183855738e-7,8.224090004441008e-7,0,0,0,4.803332359857975e-7,1.464876652502937e-6,1.435093243987617e-6,9.266683331252191e-7,8.933263385881022e-7,0,0,0,0,0,0,0
Great Lakes,4.426294387342997e-4,3.068190797704914e-4,2.895850831938801e-4,3.7222887854878515e-4,3.981079125180852e-4,5.25889848416171e-4,5.532576710659252e-4,6.311791017993847e-4,7.631666800900188e-4,8.389239580162153e-4,8.268207317642743e-4,0.0010270055818995896,7.694585844398144e-4,7.183826471348523e-4,8.126060098860195e-4,7.88663731158343e-4,0.0012500973802325645,0.001600499831212797,0.0012413939916055632,0.0011509636442043202,0.001191065956909596,0.0012296213468147533,0.001184181536814261
Hawaii,0,0,0,0,0,0,0,0,0,0,0,4.567725668486652e-6,4.647581630898362e-6,4.486122181032975e-6,5.790061070669144e-6,8.344308416764827e-6,6.706467314690249e-6,6.512680840865249e-6,6.155338586709639e-6,5.95845289962152e-6,0,0,NA
Idaho,0,0,2.920569277363544e-6,5.251673314409804e-6,1.8672143828856462e-5,4.654385983058036e-5,4.198505332101772e-5,6.542155166385053e-5,6.78414893879464e-5,8.606222298721976e-5,1.5203626621179393e-4,5.800629172538469e-4,3.088925923117189e-4,2.7704020321078803e-4,2.4059949667287774e-4,2.9833395914882234e-4,1.827420361667513e-4,1.703440330033821e-4,1.5781511049333915e-4,3.8496514975870676e-4,2.2318813085520114e-4,1.277519908018567e-4,4.246536949117994e-5
Illinois,1.3837589535220637e-4,9.551796275990565e-5,1.0883470614955193e-4,1.1026363480684153e-4,1.1045696484996196e-4,1.5631042083081323e-4,1.6603426684614627e-4,2.2910492081849773e-4,2.460106766260017e-4,2.4942214000351465e-4,2.4117689402305826e-4,3.4170539556943895e-4,2.475907603252195e-4,2.893136423987342e-4,3.257414550958837e-4,3.818837330607926e-4,3.4785119578908453e-4,2.505976163279191e-4,1.6976474831250965e-4,1.4943437972093687e-4,1.7459113754106036e-4,1.8270145717379864e-4,1.5598222139570736e-4
Indiana,5.3980504823334124e-5,2.4951209537003185e-5,2.4851499347907014e-5,3.483788850992462e-5,3.0174589199735828e-5,3.5707942856015236e-5,4.347002586466539e-5,6.548662821447579e-5,9.590180944149285e-5,1.1864278813633752e-4,1.5136585749306696e-4,2.2174743511528506e-4,1.598773842996611e-4,1.705819108146808e-4,1.997555568598015e-4,2.2661181396268189e-4,2.402779535366512e-4,2.3082202828835253e-4,1.183928576270155e-4,9.897189638670347e-5,1.1921269782299491e-4,1.0842839335358043e-4,8.004822840147887e-5
Iowa,1.0880024758100784e-5,7.0885118850715936e-6,6.835083114610674e-6,7.51782799209554e-6,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,0.008630861894155416,0.004887601745298666,0.0044648636238181424,0.0065831194322814425,0.006631144553100909,0.006168094496648986,0.007433942359419421,0.008325343398968541,0.010002245885622825,0.009885890234100757,0.009686895325830834,0.012923362593630229,0.008674188604766377,0.00997734683450591,0.01068723787006202,0.010707370422131997,0.01148091958096166,0.011029832817964144,0.005322725741522552,0.0041501766894565945,0.004589406105747339,0.004258171214692953,0.003008399414954863
Kentucky,4.868660936504627e-4,4.004304169870262e-4,3.4142205325836525e-4,6.06993830209899e-4,9.47743223635951e-4,9.180358932432068e-4,0.0011720379865325023,0.0014461817481533515,0.0018205502889089178,0.0025161594801849183,0.0023135113260886577,0.0031966966009064086,0.0019024662210645432,0.0022769242233128435,0.0022484233936273692,0.0017182757515421538,0.0016236335140501746,0.0016272678815940523,9.099693867685281e-4,7.583279936524385e-4,8.335193867678798e-4,7.418956899461849e-4,5.983299514348582e-4
Louisiana,0.05956503647049518,0.05916649264838628,0.06286280684825125,0.08999493368556283,0.09573665783909059,0.060832941704953264,0.06255819111703732,0.06423045727608546,0.06396061618870641,0.06979850202479812,0.07301086972581892,0.07924765669581398,0.059771535267968044,0.057865889896049384,0.05961121137663354,0.051943902895982615,0.04721952064808898,0.040915969399008795,0.02240662488542768,0.02075822567811011,0.024793528618865537,0.02687108376793272,0.02284237238865188
Maine,0,0,0,0,0,0,0,0,0,0,5.3508471183706476e-5,6.507181562196824e-5,0,0,0,0,0,0,0,0,0,0,0
Maryland,8.157011170713067e-6,7.059566860275287e-6,7.2117411584053395e-6,1.3019382214690655e-5,7.18512872546497e-5,3.488845563955818e-5,3.53774666501863e-5,1.5910282325920094e-5,1.2209080503624572e-5,6.5658612421952884e-6,2.120399087380233e-6,1.69261903004805e-6,1.3373332972253343e-6,1.2709375038723878e-6,9.194523006535466e-7,6.014612501071353e-7,2.055331883247753e-6,5.669556155961553e-6,5.679849597582657e-6,6.189820118669168e-6,1.2487325364754774e-6,1.7027495513254933e-6,2.371863062857929e-6
Massachusetts,4.214654014837268e-7,8.022495076193647e-7,3.778655433479794e-7,3.4627117881097404e-7,0,0,5.7842735884283684e-6,5.202959810808139e-6,4.093648645645586e-6,3.0617641328248953e-6,3.9628119162282695e-6,4.60619113031836e-6,4.353339574827249e-6,3.891655342355002e-6,5.1701083137691735e-6,6.321727619786013e-6,5.9429320049339546e-6,5.101297961500079e-6,5.6128950651226125e-6,1.127006654779985e-5,1.5027585951686687e-6,8.864504803054636e-7,4.888271805442737e-6
Michigan,7.004256253049769e-4,3.3068095651865234e-4,2.219841779373147e-4,2.3824912168708776e-4,1.9463493517027556e-4,1.6773872795748125e-4,2.1487317939077575e-4,2.40910053936364e-4,3.177863681140353e-4,5.633676645872163e-4,4.413896547834871e-4,5.739959105672877e-4,3.9920397858834745e-4,4.545652658809414e-4,5.601220304695508e-4,6.262254809184577e-4,6.503925224069828e-4,5.949888129707561e-4,2.7832557481494613e-4,2.3252778095067149e-4,2.594909512994079e-4,2.286854942736461e-4,1.8854624821191545e-4
