state_name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Georgia,0.15817297543341163,0.15757467951423643,0.15865221193556162,0.14918611652900135,0.1422336526755608,0.1364636067797315,0.12575537938712614,0.12564709881518277,0.11883522442115359,0.11324589498531584,0.11219087987954424,0.10771905116893897,0.10979152852066013,0.1089247731296968,0.11023020989732747,0.1082997386797128,0.10786185688391764,0.10744648876212483,0.10674208198642554,0.10743741127469128,0.10515413879141594,0.09912390026830357,0.09448859020879158,0.08996691121083895,0.09346524765546602
Hawaii,0.02012602300874629,0.019246256933941826,0.020576754397213688,0.020118354713749,0.021782113118580547,0.021942379973210406,0.022509607379463982,0.020233604248044542,0.019902596157533457,0.01948016730625426,0.018769208710234464,0.020897344933326432,0.020548507584078626,0.018877602137786758,0.019658704850189408,0.019923427063095488,0.02073639693702225,0.021765379370171662,0.02052559205124196,0.019051557301249848,0.019180341784261586,0.019909965395164188,0.017177828550758268,0.015934202493587468,0.01631922930865629
Idaho,0.14284551935966153,0.13271173671433814,0.16292687770700265,0.20052726800076676,0.14656565926004964,0.13618216232429695,0.13777765703644795,0.1364513094461953,0.1413302688167622,0.11318355898587407,0.10272645523737126,0.11388983786707661,0.11816528898104288,0.12033978801027567,0.11806059243674605,0.12007427486845015,0.11303160952069835,0.11222110036050992,0.10736283363100703,0.10646973883383162,0.10675506776549624,0.11075065263201363,0.10783291939708882,0.10885380379281712,0.10956478591300807
Illinois,0.17027045628910023,0.16657622619753068,0.1593457404898344,0.15742957192659113,0.14788094094978635,0.13710134767189822,0.13802437983387195,0.13835024565730736,0.13592505270325211,0.13249730193166795,0.13103811271697463,0.12335778632338285,0.1274944692163437,0.12917824121314853,0.1363869514063602,0.1427799125852441,0.13154266877968054,0.13113009672186426,0.12659199767979842,0.12252962418864319,0.12310198637318591,0.12778796948366955,0.12470716836568252,0.12329809082805965,0.12831293914310832
Indiana,0.29635355822472204,0.30914982550425857,0.3048145120330442,0.3006745302159802,0.281084572073223,0.2913537914787693,0.29123054328217324,0.2924232388268133,0.27802015146844605,0.2660464370954396,0.2914268060158788,0.28846837123061114,0.2616509219722413,0.28923083130015265,0.2860441226389288,0.27555464156566467,0.2825527770524943,0.28474351769721945,0.27208154827732367,0.2685768340564351,0.267231261023989,0.26930614395435404,0.2604974065686264,0.25296060843503976,0.26558669760041415
Iowa,0.22625615930290474,0.22075988847407968,0.22671515018955965,0.21844982386802989,0.21472767187766903,0.21282608033929604,0.20771513070841574,0.20494502446912455,0.1970608218626538,0.20465408303445837,0.1900424997571235,0.19435181045231317,0.18509057333159964,0.1887693440171436,0.17573290516549298,0.18650812673774936,0.1820884424997981,0.1921466655189407,0.19048326865384393,0.16880925731749494,0.17666758558167867,0.1794723930440208,0.17484842215985172,0.17282912848050833,0.17142653099935087
Kansas,0.1682683228349515,0.17244648005919727,0.1706576880897076,0.17378366763841624,0.17175271928679756,0.16425322271745563,0.15601526427775197,0.14771958862771617,0.15100406249437343,0.16548414041662907,0.1714346372701683,0.15402595403108607,0.14082373279701696,0.1546146590010366,0.16473878859392382,0.16292196629205558,0.13487658080662665,0.14573362204661494,0.15253791022353125,0.15068463269160054,0.1521373875007352,0.15975511743627685,0.1568735731037663,0.14947659553573162,0.1503960404277403
Kentucky,0.2670063569981501,0.26278383248478043,0.26154666796401255,0.21474530784134424,0.2046419868097943,0.20428503871024126,0.20093809920442063,0.19577095137361444,0.1894061902847437,0.1971221914836476,0.18288956037558288,0.1723057620596959,0.1555043884993504,0.16982765925098867,0.1674830654321513,0.18421925670119121,0.18783477957386666,0.18524628186045822,0.1825031499934596,0.17744264317512443,0.1826608121852596,0.17915220290198863,0.1789274947189168,0.17289107535725107,0.17394930963222746
Louisiana,0.16773332691388423,0.16408745229749888,0.17228650483715968,0.1467783668373532,0.1324825309714491,0.15100904214493613,0.19304298598770797,0.22028921775305094,0.28766094490484967,0.25536906000660337,0.22857698691397305,0.20234339835135343,0.1830299516512133,0.21912405590724557,0.21822479288525515,0.22242482200414895,0.19248849273824092,0.20535164264116945,0.1932981304774077,0.16854763317035878,0.19174056553423563,0.20609607979037592,0.1876544810301616,0.16953678557442448,0.1684147609188325
Maine,0.14701290727144462,0.13604530386053076,0.14032987342066416,0.143048443628813,0.12073864740180855,0.1111767351518057,0.10618170302869892,0.10893607608936076,0.10757139670975074,0.10630150839834113,0.10693568876302285,0.10672763698603126,0.10699713245103064,0.1068141196642695,0.1022871869977461,0.10146852534570798,0.09928199140445859,0.09811773631999544,0.09363630264590676,0.09537394779468387,0.09902760487014704,0.09754641413671003,0.09768906795767603,0.0948322405365531,0.10022982702492335
